dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
108,83333,dkgA,dkgA,NE,,PEC
108,83333,dkgB,dkgB,NE,,PEC
108,83333,dksA,dksA,NE,,PEC
108,83333,dld,dld,NE,,PEC
108,83333,dmlA,dmlA,NE,,PEC
108,83333,dmlR,dmlR,NE,,PEC
108,83333,dmsA,dmsA,NE,,PEC
108,83333,dmsB,dmsB,NE,,PEC
108,83333,dmsC,dmsC,NE,,PEC
108,83333,dmsD,dmsD,NE,,PEC
108,83333,dnaA,dnaA,E,,PEC
108,83333,dnaB,dnaB,E,,PEC
108,83333,dnaC,dnaC,E,,PEC
108,83333,dnaE,dnaE,E,,PEC
108,83333,dnaG,dnaG,E,,PEC
108,83333,dnaI,dnaI,NE,,PEC
